country,year,iso_code,population,continent,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Aruba,2021,ABW,106543,North America,,,,,,0,0,0,,591.398,,,,,0,0,,,,,0,,0.93,0.93,,,,,,,,7320.988,0.78,,,83.871,,,,,0,0,,,,,,0,,0.55,,,,0,0,,0,,,,,1407.882,0.15,,16.129,,0,0,,,,0,0,,0,,,,,7320.988,0.78,,,,,,83.871,,,0,0,,,0,0,,0,0,,8728.87,,,,,1407.882,0.15,,16.129,,,,,93.859,0.01,,1.075,,,,,1314.023,0.14,,15.054,
Afghanistan,2021,AFG,40099460,Asia,,,,,,0,0,0,,120.482,,,,,0,0,,,,,0,,6.2,0.83,,,,,,,,3.242,0.13,,,15.663,,,,,0,0,,,,,,0,,0.1,,,,15.462,0.62,,74.699,,,,,17.457,0.7,,84.337,,5.37,86.613,,,,0,0,,0,,,,,3.242,0.13,,,,,,15.663,,,0,0,,,0,0,,0,0,,20.699,,,,,17.457,0.7,,84.337,,,,,1.995,0.08,,9.639,,,,,0,0,,0,
Angola,2021,AGO,34503776,Africa,,,,,,8.115,0.28,1.704,,168.594,,,,,0,0,,,,,0,,16.43,16.43,,,,,,,,134.188,4.63,,,28.18,,,,,112.741,3.89,,0,,,,23.676,,2.77,,,,333.297,11.5,,69.994,,,,,341.992,11.8,,71.82,,0,0,,,,0,0,,0,,,,,21.447,0.74,,-11.854,-88.538,19080.35,658.344,4.504,,,0.28,0,,,8.115,0,,1.704,0,,476.18,,,,,341.992,11.8,,71.82,,,,,0.58,0.02,,0.122,,,,,0,0,,0,
United Arab Emirates,2021,ARE,9365149,Asia,,,,,,1.068,0.01,0.007,,461.845,-6.603,-1.452,2192.513,20.533,0,0,,,,,0,1.632,135.6,135.63,10.782,6.319,74.757,134316.922,,4.362,50.902,13575.864,127.14,130050.375,1217.941,93.74,96.824,-0.304,-2.114,694.114,13575.864,127.14,74116.75,2.794,15.492,60857.723,569.942,93.74,55.181,62.64,,,,0,0,,0,,0,,,906.553,8.49,,6.26,,-0.03,-0.022,549.359,22.384,26.476,191.134,1.79,2827.086,1.32,2.105,12.136,54.468,503.294,0,0,53741.125,-1.322,-25.611,204134.109,1911.746,0,40.011,0.019,0.01,0,-0.273,0,1.068,0,2.047,0.007,0,0.002,14482.418,1257.898,0,,,715.418,6.7,,4.94,,12.684,1.471,13.461,714.351,6.69,1437.397,4.933,1.07,,0,0,0,0,0,0,0
Argentina,2021,ARG,45276788,South America,,8.019,0.774,230.13,10.42,44.394,2.01,1.37,1.093,357.786,82.26,8.239,403.163,18.254,61.4,2.78,0,,,,1.895,1.915,149.18,146.68,15.385,8.237,72.553,21057.426,,9.575,71.496,2193.839,99.33,18071.082,818.201,67.719,85.818,4.561,20.039,459.352,1965.466,88.99,10145.409,0.825,3.16,8527.216,386.085,60.669,48.18,52.48,-17.203,-10.882,51.28,445.924,20.19,1132.598,13.765,5.379,1.909,1.057,135.212,1045.79,47.35,2986.344,32.281,14.182,2.5,1.676,1.586,0.326,27.198,224.618,10.17,600.696,6.933,2.853,14.533,43.218,340.595,166.973,7.56,7522.509,5.095,16.387,7466.105,338.041,5.154,35.724,6.716,2.01,0,-7.1,-0.513,44.394,0,148.334,1.37,0,0.704,3239.629,953.413,1.984,0.731,108.014,821.171,37.18,2385.648,25.348,11.329,63.317,2.214,5.745,47.927,2.17,126.888,1.479,0.603,37.478,9.138,33.853,282.926,12.81,747.699,8.733,3.551
Armenia,2021,ARM,2790971,Asia,,,,,,0,0,0,,222.678,,,,,0,0,,,,,0,,6.69,7.32,,,,,,,,1139.388,3.18,,,43.443,,,,,1139.388,3.18,,,,,,43.443,,1.63,,,,788.256,2.2,,30.055,,,,,1483.355,4.14,,56.557,,-0.63,-9.417,,,,662.852,1.85,,25.273,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,2622.743,,,,,820.503,2.29,,31.284,,,,,32.247,0.09,,1.23,,,,,0,0,,0,
American Samoa,2021,ASM,45056,Oceania,,,,,,0,0,0,,687.5,,,,,0,0,,,,,0,,0.16,0.16,,,,,,,,3551.136,0.16,,,100,,,,,0,0,,,,,,0,,0.11,,,,0,0,,0,,,,,0,0,,0,,0,0,,,,0,0,,0,,,,,3551.136,0.16,,,,,,100,,,0,0,,,0,0,,0,0,,3551.136,,,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Antigua and Barbuda,2021,ATG,93229,North America,,,,,,0,0,0,,657.143,,,,,0,0,,,,,0,,0.35,0.35,,,,,,,,3539.671,0.33,,,94.286,,,,,0,0,,,,,,0,,0.23,,,,0,0,,0,,,,,214.526,0.02,,5.714,,0,0,,,,0,0,,0,,,,,3539.671,0.33,,,,,,94.286,,,0,0,,,0,0,,0,0,,3754.197,,,,,214.526,0.02,,5.714,,,,,214.526,0.02,,5.714,,,,,0,0,,0,
Australia,2021,AUS,25921094,Oceania,,2.675,0.032,47.358,1.228,119.208,3.09,1.251,0.077,531.247,-3.321,-15.557,17474.881,452.968,4891.383,126.79,2.081,70.419,133246.016,3453.882,51.32,28.508,247.06,247.06,15.549,-0.295,-4.705,61297.172,,-2.691,-38.259,6754.344,175.08,53369.281,1383.39,70.865,87.066,-8.558,-36.883,394.073,1695.53,43.95,15202.798,0.869,12.683,56795.016,1472.189,17.789,24.802,131.25,10.923,3.983,41.857,569.42,14.76,1614.779,5.974,2.634,19.978,33.554,205.5,2776.889,71.98,7927.889,29.135,12.934,0,0,,,,0,0,,0,,2.716,14.182,536.349,167.431,4.34,20691.604,-4.861,-10.775,8136.097,210.897,1.757,33.756,10.675,3.09,0,-1.946,-0.212,119.208,0,411.822,1.251,0,0.672,9531.233,1588.89,19.978,33.554,205.5,2776.889,71.98,7927.889,29.135,12.934,30.832,19.006,81.624,1081.745,28.04,3148.946,11.349,5.137,18.53,10.744,70.116,1006.516,26.09,2704.984,10.56,4.413
Austria,2021,AUT,8922086,Europe,,0.393,0.02,560.002,4.996,502.125,4.48,6.692,1.213,147.573,7.688,2.228,3497.366,31.204,15.691,0.14,,,,,0.209,7.576,74.49,66.95,16.255,2.884,11.544,46162.414,,4.182,10.335,1591.556,14.2,28859.91,257.491,21.21,62.518,5.703,4.864,90.139,1190.305,10.62,10102.873,,,,,15.863,21.885,9.88,2.032,1.83,112.129,4343.155,38.75,12567.525,57.879,27.225,1.17,1.209,154.374,5912.294,52.75,17302.5,78.79,37.482,7.54,10.122,,,,0,0,,0,,2.441,3.244,136.148,385.56,3.44,15259.672,,,,,5.138,33.056,14.022,4.48,0,-4.534,-0.666,502.125,0,1571.579,6.692,0,3.404,7503.85,411.865,1.17,1.209,154.374,5912.294,52.75,17302.5,78.79,37.482,4.012,0.195,5.56,311.586,2.78,623.194,4.152,1.35,-0.584,-0.169,17.668,755.429,6.74,1980.2,10.067,4.29
