Entity,Code,Year,Renewables
Africa,,2000,7.1749406
Africa,,2001,7.4141307
Africa,,2002,7.6051617
Africa,,2003,7.0411763
Africa,,2004,6.9333735
Africa,,2005,6.998331
Africa,,2006,7.123233
Africa,,2007,7.0094085
Africa,,2008,6.716138
Africa,,2009,6.7757106
Africa,,2010,7.1018925
Africa,,2011,7.2255993
Africa,,2012,6.989345
Africa,,2013,7.1956143
Africa,,2014,7.509692
Africa,,2015,7.464454
Africa,,2016,7.307821
Africa,,2017,7.7397423
Africa,,2018,8.169643
Africa,,2019,8.5593
Africa,,2020,9.624269
Africa,,2021,9.555876
Africa (BP),,2000,7.1749406
Africa (BP),,2001,7.41413
Africa (BP),,2002,7.6197057
Africa (BP),,2003,7.056476
Africa (BP),,2004,6.950178
Africa (BP),,2005,7.004725
Africa (BP),,2006,7.125098
Africa (BP),,2007,7.0290914
Africa (BP),,2008,6.73045
Africa (BP),,2009,6.7835674
Africa (BP),,2010,7.106614
Africa (BP),,2011,7.2368093
Africa (BP),,2012,7.0023284
Africa (BP),,2013,7.207865
Africa (BP),,2014,7.5212083
Africa (BP),,2015,7.4785933
Africa (BP),,2016,7.3201394
Africa (BP),,2017,7.7515693
Africa (BP),,2018,8.187628
Africa (BP),,2019,8.574492
Africa (BP),,2020,9.644047
Africa (BP),,2021,9.574978
Algeria,DZA,2000,0.053235482
Algeria,DZA,2001,0.065218486
Algeria,DZA,2002,0.05167677
Algeria,DZA,2003,0.228104
Algeria,DZA,2004,0.2067869
Algeria,DZA,2005,0.43411878
Algeria,DZA,2006,0.16327195
Algeria,DZA,2007,0.15990457
Algeria,DZA,2008,0.1877543
Algeria,DZA,2009,0.21278548
Algeria,DZA,2010,0.11513238
Algeria,DZA,2011,0.2352599
Algeria,DZA,2012,0.22453195
Algeria,DZA,2013,0.064763196
Algeria,DZA,2014,0.117502466
Algeria,DZA,2015,0.096813366
Algeria,DZA,2016,0.14580712
Algeria,DZA,2017,0.24701829
Algeria,DZA,2018,0.28767928
Algeria,DZA,2019,0.29474697
Algeria,DZA,2020,0.29789943
Algeria,DZA,2021,0.26136735
Argentina,ARG,2000,12.283858
Argentina,ARG,2001,15.937488
Argentina,ARG,2002,16.249306
Argentina,ARG,2003,14.408259
